Price,Qty_,Sub_Total,Discount,Tax,Final_Total,Non_Taxable,CGST_Rate,CGST_Amount,SGST_Rate,SGST_Amount,VAT_Rate,VAT_Amount,Service_Charge_Rate,Service_Charge_Amount,Payment_Type,Order_Type,Status,Covers,modification_delta,Severity_Label,expected_total,total_diff,Anomaly_Type,timestamp
250,1.0,250.0,250.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,2,-772.0,2,,,Unusual Access,2025-04-23
100,1.0,100.0,100.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,1,-568.0,2,,,Unusual Access,2025-03-27
495,1.0,495.0,495.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,2,-5303.0,2,,,Duplication,2025-01-16
185,1.0,185.0,185.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,0,-204.0,2,,,Missing Data,2025-02-12
525,1.0,525.0,341.3,0.0,183.7,183.7,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Suspicious Content,2025-01-12
195,1.0,195.0,195.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,0,-3219.0,2,,,Modification,2025-04-09
185,1.0,185.0,185.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,0,-3219.0,2,,,Missing Data,2025-04-16
725,1.0,725.0,725.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,2,-5303.0,2,,,Missing Data,2025-05-01
365,1.0,365.0,365.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,2,-5303.0,2,,,Missing Data,2025-02-04
365,1.0,365.0,365.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,2,-403.0,2,,,Missing Data,2025-04-17
375,0.5,187.5,187.5,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,2,-772.0,2,,,Suspicious Content,2025-03-05
135,1.0,135.0,87.8,0.0,47.2,47.2,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Online,Delivery(Parcel),Success,0,0.0,2,,,Missing Data,2025-02-03
795,1.0,795.0,795.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,2,-5303.0,2,,,Suspicious Content,2025-03-31
115,1.0,115.0,115.0,0.0,0.0,0.0,2.5,0.0,2.5,0.0,10,0.0,5,0.0,Cash,Dine In,Success,1,-568.0,2,,,Missing Data,2025-02-16
